기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20260409000000,80836.7,60510.8,72900.0,20325.9,33.5906,9965.9,16.1364
20260409000500,81256.4,60270.3,72900.0,20986.1,34.82,9856.48,16.0205
20260409001000,80734.6,59943.4,72900.0,20791.2,34.6848,9890.88,16.1639
20260409001500,80257.8,59611.0,72900.0,20646.8,34.6359,9683.36,15.9124
20260409002000,80234.6,59261.3,72900.0,20973.2,35.3911,9762.69,16.1353
20260409002500,80249.1,58913.2,72900.0,21336.0,36.216,9438.81,15.6936
20260409003000,80241.6,58516.7,72900.0,21724.9,37.1259,9457.58,15.8288
20260409003500,80277.6,58512.3,72900.0,21765.3,37.1979,9455.37,15.8261
20260409004000,80264.9,58536.5,72900.0,21728.4,37.1194,9382.15,15.6973
20260409004500,80254.7,58031.4,72900.0,22223.3,38.2952,9400.36,15.8615
20260409005000,80267.8,57874.2,72900.0,22393.6,38.6937,9270.89,15.6836
20260409005500,80279.1,57671.8,72900.0,22607.3,39.2,8854.01,15.0288
20260409010000,80288.0,57572.0,72900.0,22716.0,39.4566,8483.62,14.4248
20260409010500,80421.7,57133.2,72900.0,23288.5,40.7617,8956.42,15.3418
20260409011000,80171.2,57018.5,72900.0,23152.7,40.6055,9368.25,16.0789
20260409011500,80173.4,56980.7,72900.0,23192.8,40.7028,9409.7,16.1614
20260409012000,80183.6,57063.2,72900.0,23120.4,40.5172,9257.04,15.8768
20260409012500,80196.7,57143.8,72900.0,23052.9,40.3419,8812.82,15.0953
20260409013000,80192.6,56821.4,72900.0,23371.2,41.131,8918.31,15.3597
20260409013500,80181.9,56530.9,72900.0,23651.0,41.8373,9183.01,15.8961
20260409014000,80163.3,56362.9,72900.0,23800.4,42.2271,9310.25,16.1617
20260409014500,80145.2,56302.7,72900.0,23842.6,42.3472,9458.5,16.4368
20260409015000,80143.4,56230.5,72900.0,23912.9,42.5265,9666.5,16.8171
20260409015500,80135.0,56063.1,72900.0,24071.9,42.9372,9792.9,17.0868
20260409020000,80147.6,55746.7,72900.0,24400.9,43.7709,10084.6,17.6932
20260409020500,80179.6,55995.9,72900.0,24183.7,43.1883,9847.88,17.2029
20260409021000,80189.9,55760.7,72900.0,24429.3,43.8109,10235.2,17.9538
20260409021500,80187.7,55786.8,72900.0,24400.9,43.7396,9977.39,17.4816
20260409022000,80182.0,55831.3,72900.0,24350.6,43.6146,10082.8,17.6023
20260409022500,80194.6,55708.2,72900.0,24486.4,43.9547,10223.7,17.886
20260409023000,80172.1,55491.4,72900.0,24680.7,44.4766,10408.3,18.2799
20260409023500,80197.0,55563.2,72900.0,24633.8,44.3347,10413.7,18.2659
20260409024000,80217.0,55307.2,72900.0,24909.8,45.0391,10653.4,18.7662
20260409024500,80240.9,55360.5,72900.0,24880.3,44.9424,10729.4,18.8856
20260409025000,80222.4,55044.3,72900.0,25178.1,45.7415,11105.6,19.6575
20260409025500,80225.3,55141.4,72900.0,25083.9,45.4903,11112.2,19.6349
20260409030000,80210.1,54963.9,72900.0,25246.2,45.9324,11153.1,19.7686
20260409030500,79834.9,55146.3,72900.0,24688.7,44.7694,11075.6,19.5678
20260409031000,79850.4,55171.9,72900.0,24678.5,44.7302,11055.0,19.522
20260409031500,79841.4,55292.5,72900.0,24548.9,44.3982,10944.3,19.2848
20260409032000,79835.9,55208.9,72900.0,24627.0,44.6069,11056.9,19.5125
20260409032500,79817.5,55243.8,72900.0,24573.7,44.4822,11079.0,19.54
20260409033000,79822.7,55178.7,72900.0,24644.0,44.6622,11146.7,19.6814
20260409033500,79804.7,55136.6,72900.0,24668.1,44.7401,11190.8,19.7747
20260409034000,79822.5,55029.7,72900.0,24792.8,45.0535,11304.7,20.0149
20260409034500,79823.6,54891.0,72900.0,24932.6,45.422,11454.3,20.3279
20260409035000,79828.0,54865.7,72900.0,24962.4,45.4972,11585.0,20.5699
20260409035500,79829.0,54711.9,72900.0,25117.1,45.908,11803.5,21.0143
20260409040000,79836.7,54706.0,72900.0,25130.7,45.9378,11886.0,21.1661
20260409040500,79780.9,54783.5,72900.0,24997.4,45.6294,11929.2,21.2141
20260409041000,79764.8,55263.6,72900.0,24501.2,44.3352,11795.8,20.7993
20260409041500,79783.8,55211.6,72900.0,24572.3,44.5057,11974.9,21.1351
20260409042000,79797.7,55402.7,72900.0,24394.9,44.032,12198.8,21.4584
20260409042500,79851.7,55592.3,72900.0,24259.4,43.6381,12233.9,21.4484
20260409043000,79856.8,55515.5,72900.0,24341.2,43.8459,12880.2,22.6115
20260409043500,79847.9,55636.2,72900.0,24211.6,43.5178,13025.9,22.8201
20260409044000,79850.5,55491.3,72900.0,24359.1,43.8972,13477.7,23.6724
20260409044500,79836.0,55705.0,72900.0,24131.0,43.3192,13945.4,24.4048
20260409045000,79787.4,55614.5,72900.0,24172.9,43.4651,14419.6,25.2749
20260409045500,79795.6,55590.4,72900.0,24205.2,43.542,14678.1,25.7378
20260409050000,79813.1,55669.2,72900.0,24144.0,43.3705,15379.4,26.9296
20260409050500,79740.1,55867.1,72900.0,23872.9,42.7316,15306.1,26.7022
20260409051000,79732.1,56614.8,72900.0,23117.3,40.8327,15199.8,26.181
